id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_permission,Can add permission
6,2,change_permission,Can change permission
7,2,delete_permission,Can delete permission
8,2,view_permission,Can view permission
9,3,add_group,Can add group
10,3,change_group,Can change group
11,3,delete_group,Can delete group
12,3,view_group,Can view group
13,4,add_user,Can add user
14,4,change_user,Can change user
15,4,delete_user,Can delete user
16,4,view_user,Can view user
17,5,add_contenttype,Can add content type
18,5,change_contenttype,Can change content type
19,5,delete_contenttype,Can delete content type
20,5,view_contenttype,Can view content type
21,6,add_session,Can add session
22,6,change_session,Can change session
23,6,delete_session,Can delete session
24,6,view_session,Can view session
25,7,add_question,Can add question
26,7,change_question,Can change question
27,7,delete_question,Can delete question
28,7,view_question,Can view question
29,8,add_room,Can add room
30,8,change_room,Can change room
31,8,delete_room,Can delete room
32,8,view_room,Can view room
33,9,add_player,Can add player
34,9,change_player,Can change player
35,9,delete_player,Can delete player
36,9,view_player,Can view player
37,10,add_photo,Can add photo
38,10,change_photo,Can change photo
39,10,delete_photo,Can delete photo
40,10,view_photo,Can view photo
41,11,add_school,Can add school
42,11,change_school,Can change school
43,11,delete_school,Can delete school
44,11,view_school,Can view school
45,12,add_dialogue,Can add dialogue
46,12,change_dialogue,Can change dialogue
47,12,delete_dialogue,Can delete dialogue
48,12,view_dialogue,Can view dialogue
49,13,add_robot,Can add robot
50,13,change_robot,Can change robot
51,13,delete_robot,Can delete robot
52,13,view_robot,Can view robot
53,14,add_game,Can add game
54,14,change_game,Can change game
55,14,delete_game,Can delete game
56,14,view_game,Can view game
57,15,add_role,Can add role
58,15,change_role,Can change role
59,15,delete_role,Can delete role
60,15,view_role,Can view role
61,15,add_gamerole,Can add game role
62,15,change_gamerole,Can change game role
63,15,delete_gamerole,Can delete game role
64,15,view_gamerole,Can view game role
65,16,add_gameevent,Can add game event
66,16,change_gameevent,Can change game event
67,16,delete_gameevent,Can delete game event
68,16,view_gameevent,Can view game event
69,17,add_match,Can add match
70,17,change_match,Can change match
71,17,delete_match,Can delete match
72,17,view_match,Can view match
73,18,add_city,Can add city
74,18,change_city,Can change city
75,18,delete_city,Can delete city
76,18,view_city,Can view city
