id,app,name,applied
1,contenttypes,0001_initial,2021-04-19 11:37:22.647850
2,auth,0001_initial,2021-04-19 11:37:22.674151
3,admin,0001_initial,2021-04-19 11:37:22.698089
4,admin,0002_logentry_remove_auto_add,2021-04-19 11:37:22.714796
5,admin,0003_logentry_add_action_flag_choices,2021-04-19 11:37:22.726038
6,contenttypes,0002_remove_content_type_name,2021-04-19 11:37:22.745063
7,auth,0002_alter_permission_name_max_length,2021-04-19 11:37:22.761231
8,auth,0003_alter_user_email_max_length,2021-04-19 11:37:22.772891
9,auth,0004_alter_user_username_opts,2021-04-19 11:37:22.781207
10,auth,0005_alter_user_last_login_null,2021-04-19 11:37:22.792129
11,auth,0006_require_contenttypes_0002,2021-04-19 11:37:22.794533
12,auth,0007_alter_validators_add_error_messages,2021-04-19 11:37:22.802427
13,auth,0008_alter_user_username_max_length,2021-04-19 11:37:22.812795
14,auth,0009_alter_user_last_name_max_length,2021-04-19 11:37:22.822085
15,auth,0010_alter_group_name_max_length,2021-04-19 11:37:22.831355
16,auth,0011_update_proxy_permissions,2021-04-19 11:37:22.839154
17,auth,0012_alter_user_first_name_max_length,2021-04-19 11:37:22.849721
18,sessions,0001_initial,2021-04-19 11:37:22.853343
19,chat,0001_initial,2021-08-22 12:42:48.726658
20,chat,0002_alter_dialogue_dialog,2021-09-07 12:10:37.984986
21,chat,0003_alter_dialogue_dialog,2021-09-08 04:03:45.645822
22,chat,0004_alter_dialogue_dialog,2021-09-08 04:12:57.793746
23,chat,0005_remove_school_url,2021-09-10 02:31:17.233544
24,chat,0006_alter_photo_uploader,2021-09-23 14:37:17.110946
25,chat,0007_alter_photo_uploader,2021-09-30 15:06:18.024171
26,chat,0008_auto_20211004_1204,2021-10-04 04:04:55.348061
27,chat,0009_auto_20211004_2329,2021-10-04 15:30:05.767524
28,chat,0010_auto_20211006_1221,2021-10-06 04:21:25.456271
29,chat,0011_auto_20211011_1522,2021-10-11 07:22:29.811857
30,chat,0012_auto_20211025_1140,2021-10-25 03:40:49.146182
31,chat,0013_school_roomnum,2021-10-25 06:13:57.704390
32,chat,0014_auto_20211101_0039,2021-10-31 16:39:43.706117
33,chat,0015_alter_player_score,2021-11-03 14:41:39.584308
34,chat,0016_auto_20211108_1553,2021-11-08 07:53:56.281738
35,chat,0017_player_user,2021-11-22 10:15:38.914833
36,chat,0018_player_registered,2021-11-25 17:09:21.204500
37,chat,0019_player_gender,2021-11-27 14:00:55.033536
38,chat,0020_auto_20211128_1657,2021-11-28 08:57:48.103593
39,chat,0021_auto_20211128_1707,2021-11-28 09:07:58.245357
40,chat,0022_auto_20211128_1954,2021-11-28 11:54:21.571407
41,chat,0023_auto_20211129_1302,2021-11-29 05:02:41.767534
42,chat,0024_rename_role_gamerole,2021-11-29 05:20:53.521263
43,chat,0025_auto_20211129_1724,2021-11-29 09:24:23.423410
44,chat,0026_game_game_id,2021-11-29 16:04:54.827162
45,chat,0027_player_tag_json,2021-12-01 09:44:15.025459
46,chat,0028_player_ison,2021-12-02 09:43:10.260908
47,chat,0029_rename_registered_player_isregistered,2021-12-02 10:20:14.923432
48,chat,0030_auto_20211202_2132,2021-12-02 13:32:20.595109
49,chat,0031_auto_20211203_1544,2021-12-03 07:47:27.908522
50,chat,0032_auto_20211203_1701,2021-12-03 09:01:09.012504
51,chat,0033_auto_20211208_1618,2021-12-08 08:28:01.439459
56,chat,0034_remove_room_school,2021-12-10 15:25:41.414540
57,chat,0035_room_school,2021-12-10 15:25:41.433555
58,chat,0036_auto_20211210_1341,2021-12-10 15:25:41.516679
59,chat,0037_auto_20211210_1345,2021-12-10 15:25:41.630869
60,chat,0038_alter_game_game_id,2021-12-10 16:09:30.298260
61,chat,0039_remove_dialogue_speaker,2021-12-10 16:12:15.325481
62,chat,0040_auto_20211211_0014,2021-12-10 16:14:11.494807
63,chat,0041_city,2021-12-10 16:15:50.258695
64,chat,0042_auto_20211217_1649,2021-12-17 08:50:10.493440
65,chat,0043_auto_20211231_2221,2021-12-31 14:21:19.290154
66,chat,0044_auto_20220111_1024,2022-01-11 02:24:59.795585
67,chat,0045_auto_20220112_1750,2022-01-12 09:51:12.024547
68,chat,0046_auto_20220112_1759,2022-01-12 09:59:57.794090
69,chat,0047_alter_player_game,2022-01-12 10:19:07.974838
70,chat,0048_remove_player_isregistered,2022-01-13 11:56:38.740187
